recommendation_rank,shortlist_rank,company_id,rank,final_score,shortlist_score,shortlist_category,risk_level,overall_class,financial_score,cashflow_score,growth_score,risk_score,signal_score,overall_score,investment_view,investment_summary,recommendation_category,signal_class,leverage_class,growth_class,cashflow_signal,primary_category,investor_profiles,recommended_action,recommendation_summary,recommendation_score
11,11,ONGC,11,89.86,93.92,Priority Shortlist,Low Risk,Strong Positive,71.43,100,80,100,100,100,Strong candidate with favorable overall signals and comparatively low risk.,"ONGC shows strong positive overall investment signals with low leverage, moderate growth, and positive cash flow signals. The assessed risk level is low risk.",Positive,Strong Positive,Low Leverage,Moderate Growth,Positive Cash Flow Signals,Top Overall Pick,"Conservative, Growth, Cash Flow, Balanced",Priority Review,"ONGC is classified as Top Overall Pick with an overall classification of Strong Positive and a risk level of Low Risk. The final score is 89.86. Relevant investor profiles: Conservative, Growth, Cash Flow, Balanced.",99.86
12,12,HINDALCO,12,89.65,93.79,Priority Shortlist,Low Risk,Strong Positive,70.59,100,80,100,100,100,Strong candidate with favorable overall signals and comparatively low risk.,"HINDALCO shows strong positive overall investment signals with low leverage, moderate growth, and positive cash flow signals. The assessed risk level is low risk.",Positive,Strong Positive,Low Leverage,Moderate Growth,Positive Cash Flow Signals,Top Overall Pick,"Conservative, Growth, Cash Flow, Balanced",Priority Review,"HINDALCO is classified as Top Overall Pick with an overall classification of Strong Positive and a risk level of Low Risk. The final score is 89.65. Relevant investor profiles: Conservative, Growth, Cash Flow, Balanced.",99.65
13,13,BAJAJ-AUTO,13,89.31,93.59,Priority Shortlist,Low Risk,Strong Positive,69.23,100,80,100,100,100,Strong candidate with favorable overall signals and comparatively low risk.,"BAJAJ-AUTO shows strong positive overall investment signals with low leverage, moderate growth, and positive cash flow signals. The assessed risk level is low risk.",Positive,Strong Positive,Low Leverage,Moderate Growth,Positive Cash Flow Signals,Top Overall Pick,"Growth, Cash Flow, Balanced",Priority Review,"BAJAJ-AUTO is classified as Top Overall Pick with an overall classification of Strong Positive and a risk level of Low Risk. The final score is 89.31. Relevant investor profiles: Growth, Cash Flow, Balanced.",99.31
14,14,MARUTI,14,89.19,93.51,Priority Shortlist,Low Risk,Strong Positive,68.75,100,80,100,100,100,Strong candidate with favorable overall signals and comparatively low risk.,"MARUTI shows strong positive overall investment signals with low leverage, moderate growth, and positive cash flow signals. The assessed risk level is low risk.",Positive,Strong Positive,Low Leverage,Moderate Growth,Positive Cash Flow Signals,Top Overall Pick,"Growth, Cash Flow, Balanced",Priority Review,"MARUTI is classified as Top Overall Pick with an overall classification of Strong Positive and a risk level of Low Risk. The final score is 89.19. Relevant investor profiles: Growth, Cash Flow, Balanced.",99.19
15,15,TATACONSUM,15,89.19,93.51,Priority Shortlist,Low Risk,Strong Positive,68.75,100,80,100,100,100,Strong candidate with favorable overall signals and comparatively low risk.,"TATACONSUM shows strong positive overall investment signals with low leverage, moderate growth, and positive cash flow signals. The assessed risk level is low risk.",Positive,Strong Positive,Low Leverage,Moderate Growth,Positive Cash Flow Signals,Top Overall Pick,"Growth, Cash Flow, Balanced",Priority Review,"TATACONSUM is classified as Top Overall Pick with an overall classification of Strong Positive and a risk level of Low Risk. The final score is 89.19. Relevant investor profiles: Growth, Cash Flow, Balanced.",99.19
16,16,TORNTPHARM,16,89.19,93.51,Priority Shortlist,Low Risk,Strong Positive,68.75,100,80,100,100,100,Strong candidate with favorable overall signals and comparatively low risk.,"TORNTPHARM shows strong positive overall investment signals with low leverage, moderate growth, and positive cash flow signals. The assessed risk level is low risk.",Positive,Strong Positive,Low Leverage,Moderate Growth,Positive Cash Flow Signals,Top Overall Pick,"Growth, Cash Flow, Balanced",Priority Review,"TORNTPHARM is classified as Top Overall Pick with an overall classification of Strong Positive and a risk level of Low Risk. The final score is 89.19. Relevant investor profiles: Growth, Cash Flow, Balanced.",99.19
17,17,ADANIPOWER,17,88.67,93.2,Priority Shortlist,Low Risk,Strong Positive,66.67,100,80,100,100,100,Strong candidate with favorable overall signals and comparatively low risk.,"ADANIPOWER shows strong positive overall investment signals with low leverage, moderate growth, and positive cash flow signals. The assessed risk level is low risk.",Positive,Strong Positive,Low Leverage,Moderate Growth,Positive Cash Flow Signals,Top Overall Pick,"Growth, Cash Flow, Balanced",Priority Review,"ADANIPOWER is classified as Top Overall Pick with an overall classification of Strong Positive and a risk level of Low Risk. The final score is 88.67. Relevant investor profiles: Growth, Cash Flow, Balanced.",98.67
18,18,ITC,18,88.64,93.18,Priority Shortlist,Low Risk,Strong Positive,78.57,100,60,100,100,100,Strong candidate with favorable overall signals and comparatively low risk.,"ITC shows strong positive overall investment signals with low leverage, mixed growth, and positive cash flow signals. The assessed risk level is low risk.",Positive,Strong Positive,Low Leverage,Mixed Growth,Positive Cash Flow Signals,Top Overall Pick,"Conservative, Cash Flow, Balanced",Priority Review,"ITC is classified as Top Overall Pick with an overall classification of Strong Positive and a risk level of Low Risk. The final score is 88.64. Relevant investor profiles: Conservative, Cash Flow, Balanced.",98.64
19,19,NESTLEIND,19,88.64,93.18,Priority Shortlist,Low Risk,Strong Positive,78.57,100,60,100,100,100,Strong candidate with favorable overall signals and comparatively low risk.,"NESTLEIND shows strong positive overall investment signals with low leverage, mixed growth, and positive cash flow signals. The assessed risk level is low risk.",Positive,Strong Positive,Low Leverage,Mixed Growth,Positive Cash Flow Signals,Top Overall Pick,"Conservative, Cash Flow, Balanced",Priority Review,"NESTLEIND is classified as Top Overall Pick with an overall classification of Strong Positive and a risk level of Low Risk. The final score is 88.64. Relevant investor profiles: Conservative, Cash Flow, Balanced.",98.64
20,20,IOC,20,88.23,92.94,Priority Shortlist,Low Risk,Strong Positive,76.92,100,60,100,100,100,Strong candidate with favorable overall signals and comparatively low risk.,"IOC shows strong positive overall investment signals with low leverage, mixed growth, and positive cash flow signals. The assessed risk level is low risk.",Positive,Strong Positive,Low Leverage,Mixed Growth,Positive Cash Flow Signals,Top Overall Pick,"Conservative, Cash Flow, Balanced",Priority Review,"IOC is classified as Top Overall Pick with an overall classification of Strong Positive and a risk level of Low Risk. The final score is 88.23. Relevant investor profiles: Conservative, Cash Flow, Balanced.",98.23
