rank,company_id,total_pros,total_cons,signal_balance,signal_class,leverage_class,growth_class,cashflow_signal,overall_class,risk_level,financial_score,cashflow_score,growth_score,risk_score,signal_score,overall_score,final_score,ranking_category
32,ADANIPORTS,8,4,4,Positive,Low Leverage,Moderate Growth,Positive Cash Flow Signals,Positive,Low Risk,66.67,100,80,100,80,80,83.67,Strong
33,INFY,8,4,4,Positive,Low Leverage,Moderate Growth,Positive Cash Flow Signals,Positive,Low Risk,66.67,100,80,100,80,80,83.67,Strong
34,CIPLA,12,5,7,Strong Positive,Low Leverage,Moderate Growth,Balanced Cash Flow Signals,Strong Positive,Low Risk,70.59,70,80,100,100,100,83.65,Strong
35,TATAPOWER,10,5,5,Strong Positive,Moderate Leverage,High Growth,Positive Cash Flow Signals,Positive,Moderate Risk,66.67,100,100,65,100,80,83.42,Strong
36,IRCTC,11,5,6,Strong Positive,Low Leverage,Moderate Growth,Balanced Cash Flow Signals,Strong Positive,Low Risk,68.75,70,80,100,100,100,83.19,Strong
37,LICI,11,5,6,Strong Positive,Low Leverage,Moderate Growth,Balanced Cash Flow Signals,Strong Positive,Low Risk,68.75,70,80,100,100,100,83.19,Strong
38,PIDILITIND,9,5,4,Positive,Low Leverage,Moderate Growth,Positive Cash Flow Signals,Positive,Low Risk,64.29,100,80,100,80,80,83.07,Strong
39,ULTRACEMCO,8,5,3,Positive,Low Leverage,Moderate Growth,Positive Cash Flow Signals,Positive,Low Risk,61.54,100,80,100,80,80,82.38,Strong
40,TATAMOTORS,9,4,5,Strong Positive,Moderate Leverage,Moderate Growth,Positive Cash Flow Signals,Positive,Moderate Risk,69.23,100,80,65,100,80,81.06,Strong
41,NHPC,9,5,4,Positive,Low Leverage,Low Growth,Positive Cash Flow Signals,Positive,Low Risk,64.29,100,45,100,80,80,77.82,Strong
42,NTPC,7,4,3,Positive,Moderate Leverage,Moderate Growth,Positive Cash Flow Signals,Positive,Moderate Risk,63.64,100,80,65,80,80,77.66,Strong
43,POWERGRID,10,5,5,Strong Positive,Moderate Leverage,Mixed Growth,Positive Cash Flow Signals,Positive,Moderate Risk,66.67,100,60,65,100,80,77.42,Strong
44,SHREECEM,7,3,4,Positive,Low Leverage,Mixed Growth,Positive Cash Flow Signals,Positive,Moderate Risk,70.0,100,60,65,80,80,76.25,Strong
