company_id,total_pros,total_cons,signal_balance,signal_class,leverage_class,growth_class,cashflow_signal,overall_class,recommendation_score,investment_score,recommendation,risk_level,investment_priority,recommendation_reason
SHREECEM,7,3,4,Positive,Low Leverage,Mixed Growth,Positive Cash Flow Signals,Positive,8,79.17,BUY,Low Risk,High Priority,Positive overall investment signals; Positive financial signal balance; Low leverage; Positive cash-flow signals
DMART,7,4,3,Positive,Low Leverage,High Growth,Balanced Cash Flow Signals,Positive,8,79.17,BUY,Low Risk,High Priority,Positive overall investment signals; Positive financial signal balance; Low leverage; High growth
AMBUJACEM,7,5,2,Positive,Low Leverage,Mixed Growth,Positive Cash Flow Signals,Positive,8,79.17,BUY,Low Risk,High Priority,Positive overall investment signals; Positive financial signal balance; Low leverage; Positive cash-flow signals
POWERGRID,10,5,5,Strong Positive,Moderate Leverage,Mixed Growth,Positive Cash Flow Signals,Positive,7,75.0,HOLD,Low Risk,Medium Priority,Positive overall investment signals; Strong financial signal balance; Positive cash-flow signals
NHPC,9,5,4,Positive,Low Leverage,Low Growth,Positive Cash Flow Signals,Positive,7,75.0,HOLD,Low Risk,Medium Priority,Positive overall investment signals; Positive financial signal balance; Low leverage; Low growth; Positive cash-flow signals
SIEMENS,8,5,3,Positive,Low Leverage,Moderate Growth,Balanced Cash Flow Signals,Positive,7,75.0,HOLD,Low Risk,Medium Priority,Positive overall investment signals; Positive financial signal balance; Low leverage; Moderate growth
NTPC,7,4,3,Positive,Moderate Leverage,Moderate Growth,Positive Cash Flow Signals,Positive,7,75.0,HOLD,Low Risk,Medium Priority,Positive overall investment signals; Positive financial signal balance; Moderate growth; Positive cash-flow signals
HAVELLS,8,6,2,Positive,Low Leverage,Moderate Growth,Balanced Cash Flow Signals,Positive,7,75.0,HOLD,Low Risk,Medium Priority,Positive overall investment signals; Positive financial signal balance; Low leverage; Moderate growth
HDFCLIFE,8,6,2,Positive,Low Leverage,Moderate Growth,Balanced Cash Flow Signals,Positive,7,75.0,HOLD,Low Risk,Medium Priority,Positive overall investment signals; Positive financial signal balance; Low leverage; Moderate growth
SBILIFE,8,6,2,Positive,Low Leverage,Moderate Growth,Balanced Cash Flow Signals,Positive,7,75.0,HOLD,Low Risk,Medium Priority,Positive overall investment signals; Positive financial signal balance; Low leverage; Moderate growth
ATGL,3,1,2,Positive,Low Leverage,Moderate Growth,Balanced Cash Flow Signals,Positive,7,75.0,HOLD,Low Risk,Medium Priority,Positive overall investment signals; Positive financial signal balance; Low leverage; Moderate growth
TRENT,10,6,4,Positive,Low Leverage,High Growth,Negative Cash Flow Signals,Positive,6,70.83,HOLD,Moderate Risk,Medium Priority,Positive overall investment signals; Positive financial signal balance; Low leverage; High growth; Negative cash-flow signals
BAJAJHLDNG,9,6,3,Positive,Low Leverage,High Growth,Negative Cash Flow Signals,Positive,6,70.83,HOLD,Moderate Risk,Medium Priority,Positive overall investment signals; Positive financial signal balance; Low leverage; High growth; Negative cash-flow signals
TITAN,8,5,3,Positive,Moderate Leverage,High Growth,Balanced Cash Flow Signals,Positive,6,70.83,HOLD,Moderate Risk,Medium Priority,Positive overall investment signals; Positive financial signal balance; High growth
JIOFIN,7,4,3,Positive,Low Leverage,Mixed Growth,Balanced Cash Flow Signals,Positive,6,70.83,HOLD,Low Risk,Medium Priority,Positive overall investment signals; Positive financial signal balance; Low leverage
LODHA,10,8,2,Positive,Low Leverage,Moderate Growth,Negative Cash Flow Signals,Positive,5,66.67,HOLD,Moderate Risk,Medium Priority,Positive overall investment signals; Positive financial signal balance; Low leverage; Moderate growth; Negative cash-flow signals
ICICIPRULI,8,6,2,Positive,Low Leverage,Moderate Growth,Negative Cash Flow Signals,Positive,5,66.67,HOLD,Moderate Risk,Medium Priority,Positive overall investment signals; Positive financial signal balance; Low leverage; Moderate growth; Negative cash-flow signals
INDIGO,8,6,2,Positive,Low Leverage,Moderate Growth,Negative Cash Flow Signals,Positive,5,66.67,HOLD,Moderate Risk,Medium Priority,Positive overall investment signals; Positive financial signal balance; Low leverage; Moderate growth; Negative cash-flow signals
UNIONBANK,8,6,2,Positive,High Leverage,Moderate Growth,Positive Cash Flow Signals,Positive,5,66.67,HOLD,Moderate Risk,Medium Priority,Positive overall investment signals; Positive financial signal balance; High leverage; Moderate growth; Positive cash-flow signals
ICICIBANK,11,9,2,Positive,High Leverage,High Growth,Balanced Cash Flow Signals,Positive,4,62.5,HOLD,Moderate Risk,Medium Priority,Positive overall investment signals; Positive financial signal balance; High leverage; High growth
ADANIENT,8,6,2,Positive,Moderate Leverage,High Growth,Negative Cash Flow Signals,Positive,4,62.5,HOLD,Moderate Risk,Medium Priority,Positive overall investment signals; Positive financial signal balance; High growth; Negative cash-flow signals
RELIANCE,5,4,1,Balanced,Low Leverage,Moderate Growth,Balanced Cash Flow Signals,Balanced,3,58.33,HOLD,Moderate Risk,Medium Priority,Balanced investment signals; Low leverage; Moderate growth
LT,7,7,0,Balanced,Low Leverage,Moderate Growth,Balanced Cash Flow Signals,Balanced,3,58.33,HOLD,Moderate Risk,Medium Priority,Balanced investment signals; Low leverage; Moderate growth
TATASTEEL,5,6,-1,Balanced,Low Leverage,Moderate Growth,Balanced Cash Flow Signals,Balanced,3,58.33,HOLD,Moderate Risk,Medium Priority,Balanced investment signals; Low leverage; Moderate growth
JINDALSTEL,6,6,0,Balanced,Low Leverage,Mixed Growth,Balanced Cash Flow Signals,Balanced,2,54.17,AVOID,Moderate Risk,Low Priority,Balanced investment signals; Low leverage
BEL,8,7,1,Balanced,Low Leverage,Moderate Growth,Negative Cash Flow Signals,Balanced,1,50.0,AVOID,Moderate Risk,Low Priority,Balanced investment signals; Low leverage; Moderate growth; Negative cash-flow signals
CANBK,7,6,1,Balanced,High Leverage,Moderate Growth,Positive Cash Flow Signals,Balanced,1,50.0,AVOID,Moderate Risk,Low Priority,Balanced investment signals; High leverage; Moderate growth; Positive cash-flow signals
JSWENERGY,7,6,1,Balanced,Moderate Leverage,Moderate Growth,Balanced Cash Flow Signals,Balanced,1,50.0,AVOID,Moderate Risk,Low Priority,Balanced investment signals; Moderate growth
NAUKRI,7,7,0,Balanced,Low Leverage,Moderate Growth,Negative Cash Flow Signals,Balanced,1,50.0,AVOID,Moderate Risk,Low Priority,Balanced investment signals; Low leverage; Moderate growth; Negative cash-flow signals
DLF,7,8,-1,Balanced,Low Leverage,Mixed Growth,Negative Cash Flow Signals,Balanced,0,45.83,AVOID,Moderate Risk,Low Priority,Balanced investment signals; Low leverage; Negative cash-flow signals
BHARTIARTL,6,5,1,Balanced,High Leverage,Moderate Growth,Balanced Cash Flow Signals,Balanced,-1,41.67,AVOID,High Risk,Low Priority,Balanced investment signals; High leverage; Moderate growth
IRFC,7,7,0,Balanced,High Leverage,Moderate Growth,Balanced Cash Flow Signals,Balanced,-1,41.67,AVOID,High Risk,Low Priority,Balanced investment signals; High leverage; Moderate growth
JSWSTEEL,5,6,-1,Balanced,Moderate Leverage,Moderate Growth,Negative Cash Flow Signals,Balanced,-1,41.67,AVOID,High Risk,Low Priority,Balanced investment signals; Moderate growth; Negative cash-flow signals
TVSMOTOR,7,6,1,Balanced,High Leverage,High Growth,Negative Cash Flow Signals,Balanced,-2,37.5,AVOID,High Risk,Low Priority,Balanced investment signals; High leverage; High growth; Negative cash-flow signals
HDFCBANK,7,7,0,Balanced,High Leverage,High Growth,Negative Cash Flow Signals,Balanced,-2,37.5,AVOID,High Risk,Low Priority,Balanced investment signals; High leverage; High growth; Negative cash-flow signals
PNB,8,9,-1,Balanced,High Leverage,High Growth,Negative Cash Flow Signals,Balanced,-2,37.5,AVOID,High Risk,Low Priority,Balanced investment signals; High leverage; High growth; Negative cash-flow signals
RECLTD,8,7,1,Balanced,High Leverage,Moderate Growth,Negative Cash Flow Signals,Balanced,-3,33.33,AVOID,High Risk,Low Priority,Balanced investment signals; High leverage; Moderate growth; Negative cash-flow signals
