id_x,company_id,year,sales,expenses,operating_profit,opm_percentage,other_income,interest,depreciation,profit_before_tax,tax_percentage,net_profit,eps,dividend_payout,id_y,equity_capital,reserves,borrowings,other_liabilities,total_liabilities,fixed_assets,cwip,investments,other_asset,total_assets,net_profit_margin_pct,operating_profit_margin_pct,roe_calculated,roce_calculated,roa_calculated,id,roce_percentage,roe_percentage,debt_to_equity,high_leverage_flag,interest_coverage,icr_label,icr_warning,net_debt,asset_turnover
61,ABB,Dec 2012,1653,1451,202.0,12.0,33,0,19,215,33.0,145,68.0,25.0,136,21.0,626,0,260,907,109,1,0,798,907,8.771929824561402,12.220205686630369,22.411128284389488,31.221020092735703,15.986769570011026,ABB,46.0,34.9,0.0,False,,Debt Free,False,0,1.822491730981257
62,ABB,Mar 2014,2276,2009,267.0,12.0,49,0,22,295,33.0,198,93.0,25.0,137,21.0,767,0,351,1139,98,1,0,1040,1139,8.699472759226714,11.731107205623902,25.12690355329949,33.88324873096447,17.383669885864794,ABB,46.0,34.9,0.0,False,,Debt Free,False,0,1.9982440737489024
63,ABB,Mar 2015,2289,1977,312.0,14.0,48,0,15,344,34.0,229,108.0,29.0,138,21.0,916,0,436,1374,96,4,0,1274,1374,10.004368719965049,13.630406290956751,24.439701173959445,33.29775880469584,16.666666666666664,ABB,46.0,34.9,0.0,False,,Debt Free,False,0,1.665938864628821
64,ABB,Mar 2016,2614,2250,365.0,14.0,50,3,14,398,36.0,255,120.0,29.0,139,21.0,1174,0,421,1616,108,3,0,1505,1616,9.755164498852334,13.963274674827849,21.338912133891213,30.543933054393307,15.77970297029703,ABB,46.0,34.9,0.0,False,138.33333333333334,,False,0,1.6175742574257426
65,ABB,Mar 2017,2903,2505,398.0,14.0,57,2,16,436,37.0,277,130.0,31.0,140,21.0,1366,0,679,2066,110,6,0,1950,2066,9.541853255253187,13.709955218739237,19.971160778658977,28.69502523431867,13.407550822846078,ABB,46.0,34.9,0.0,False,227.5,,False,0,1.40513068731849
66,ABB,Mar 2018,3298,2774,525.0,16.0,117,4,16,621,35.0,401,189.0,29.0,141,21.0,1672,0,723,2416,81,2,0,2333,2416,12.15888417222559,15.918738629472406,23.685764914353218,31.010041346721795,16.5976821192053,ABB,46.0,34.9,0.0,False,160.5,,False,0,1.365066225165563
67,ABB,Mar 2019,3679,3074,605.0,16.0,113,2,17,699,36.0,450,212.0,31.0,142,21.0,1987,0,932,2941,105,1,0,2835,2941,12.231584669747214,16.444686055993476,22.410358565737052,30.12948207171315,15.300918055083304,ABB,46.0,34.9,0.0,False,359.0,,False,0,1.2509350561033663
68,ABB,Mar 2020,4093,3336,757.0,18.0,114,9,60,803,26.0,593,279.0,90.0,143,21.0,2410,175,940,3547,270,2,0,3275,3547,14.488150500855118,18.49499144881505,24.39325380501851,29.04834996162701,16.718353538201296,ABB,46.0,34.9,0.07198683669271905,False,96.77777777777777,,False,175,1.153932901043135
69,ABB,Mar 2021,4310,3388,922.0,21.0,81,18,58,926,25.0,691,325.0,85.0,144,21.0,2581,153,1086,3840,251,1,0,3589,3840,16.03248259860789,21.392111368909514,26.5564950038432,33.46642468239565,17.994791666666668,ABB,46.0,34.9,0.058800922367409685,False,55.72222222222222,,False,153,1.1223958333333333
70,ABB,Mar 2022,4913,3832,1082.0,22.0,83,19,66,1080,26.0,799,376.0,73.0,145,21.0,2799,152,1253,4224,271,1,0,3952,4224,16.26297577854671,22.023203745165887,28.333333333333332,36.4064602960969,18.915719696969695,ABB,46.0,34.9,0.05390070921985816,False,61.31578947368421,,False,152,1.1631155303030303
71,ABB,Mar 2023,5349,4143,1206.0,23.0,154,16,70,1274,25.0,949,447.0,73.0,146,21.0,3167,113,1254,4556,237,4,0,4315,4556,17.74163395027108,22.546270330902974,29.767879548306148,36.53438352014541,20.82967515364355,ABB,46.0,34.9,0.03544542032622334,False,85.0,,False,113,1.1740561896400352
72,ABB,Mar 2024,5849,4396,1453.0,25.0,248,12,71,1618,26.0,1201,565.0,73.0,147,21.0,3678,83,1411,5193,225,10,0,4958,5193,20.533424517011454,24.84185330825782,32.46823465801568,38.41882601797991,23.127286732139417,ABB,46.0,34.9,0.022438496891051634,False,141.75,,False,83,1.1263238975544
86,ADANIENSOL,Mar 2014,0,0,0.0,,0,0,0,0,0.0,0,0.0,,149,0.1,0,0,0,0,0,0,0,0,0,,,0.0,0.0,,ADANIENSOL,9.0,8.59,0.0,False,,Debt Free,False,0,
87,ADANIENSOL,Mar 2015,131,29,101.0,78.0,3,73,37,-5,34.0,-7,0.0,0.0,150,1090.0,-7,9701,708,11492,10573,10,0,909,11492,-5.343511450381679,77.09923664122137,-0.6463527239150507,0.936572700296736,-0.06091193873999304,ADANIENSOL,9.0,8.59,8.95752539242844,True,1.4246575342465753,,True,9701,0.011399234249912982
88,ADANIENSOL,Mar 2016,2194,267,1927.0,88.0,70,957,560,480,23.0,368,3.0,0.0,151,1100.0,1572,8585,489,11746,10060,258,20,1407,11746,16.773017319963536,87.83044667274385,13.77245508982036,17.118237541085545,3.1329814404903797,ADANIENSOL,9.0,8.59,3.2129491017964074,False,2.0867293625914316,,False,8565,0.18678699131619275
89,ADANIENSOL,Mar 2017,2876,893,1983.0,69.0,22,904,569,532,22.0,416,4.0,0.0,152,1100.0,1847,8975,890,12811,9853,1343,105,1510,12811,14.464534075104313,68.94993045897078,14.116050220563285,16.633115249119275,3.2472094293966123,ADANIENSOL,9.0,8.59,3.045469969460468,False,2.2179203539823007,,False,8870,0.22449457497463118
90,ADANIENSOL,Mar 2018,3944,1118,2826.0,72.0,111,886,579,1472,22.0,1143,10.0,0.0,153,1100.0,4957,10428,781,17265,9291,2353,0,5621,17265,28.98073022312373,71.65314401622717,18.87072808320951,17.142857142857142,6.620330147697655,ADANIENSOL,9.0,8.59,1.7216443784051512,False,3.31489841986456,,False,10428,0.22843903851723138
91,ADANIENSOL,Mar 2019,7305,4528,2778.0,38.0,336,1391,882,840,33.0,559,5.0,0.0,154,1100.0,6943,20137,4379,32558,24412,694,336,7117,32558,7.652292950034223,38.02874743326489,6.950142981474575,9.858055358410219,1.716935929725413,ADANIENSOL,9.0,8.59,2.50366778565212,False,2.2386772106398274,,False,19801,0.2243688187235088
92,ADANIENSOL,Mar 2020,11416,7158,4258.0,37.0,261,2238,1174,1107,36.0,706,7.0,0.0,155,1100.0,7399,24246,6966,39711,24924,2212,313,12262,39711,6.184302733006307,37.29852838121934,8.30685963054477,13.003511986562835,1.7778449296164793,ADANIENSOL,9.0,8.59,2.8528062124955875,False,2.019213583556747,,False,23933,0.2874770214801944
93,ADANIENSOL,Mar 2021,9926,5976,3950.0,40.0,1115,2117,1329,1620,20.0,1290,11.0,0.0,156,1100.0,7819,27095,7219,43234,26987,5255,442,10550,43234,12.996171670360667,39.79447914567802,14.46350487722839,10.967956905647803,2.9837627792940737,ADANIENSOL,9.0,8.59,3.0378966251821953,False,2.3925366084081245,,False,26653,0.22958782439746495
94,ADANIENSOL,Mar 2022,11258,7051,4206.0,37.0,1286,2365,1427,1700,27.0,1236,11.0,0.0,157,1100.0,8813,29902,7650,47464,30272,5060,561,11572,47464,10.978859477704743,37.360099484810796,12.46847573892868,10.563857842521662,2.604078880836002,ADANIENSOL,9.0,8.59,3.016443054574801,False,2.3221987315010573,,False,29341,0.23719029158941513
95,ADANIENSOL,Mar 2023,13293,8775,4518.0,34.0,1583,2781,1608,1712,25.0,1281,11.0,0.0,158,1115.0,10634,34270,7913,53932,32645,6200,1370,13716,53932,9.636650868878357,33.98781313473256,10.90305557919823,9.81768400008692,2.3752132314766743,ADANIENSOL,9.0,8.59,2.916843986722274,False,2.193815174397699,,False,32900,0.24647704516798932
96,ADANIENSOL,Mar 2024,16607,10896,5711.0,30.0,611,2767,1776,1780,33.0,1196,10.0,0.0,159,1115.0,11526,37070,8827,58538,38920,3003,766,15849,58538,7.201782380923707,34.38911302462817,9.461276797721698,11.488402969161756,2.043117291332126,ADANIENSOL,9.0,8.59,2.93252116130053,False,2.284784965666787,,False,36304,0.2836960606785336
98,ADANIENT,Mar 2013,46375,40354,6021.0,13.0,1775,3492,2298,2005,39.0,1218,15.0,10.0,170,110.0,21286,69332,21143,111871,48770,29248,323,33529,111871,2.6264150943396225,12.983288409703503,5.692652832305104,6.636319548540694,1.0887540113166057,ADANIENT,11.6,13.64,3.240418769863526,False,2.2325315005727377,,False,69009,0.41453996120531683
99,ADANIENT,Mar 2014,54947,45564,9383.0,17.0,1157,5703,3223,1614,-64.0,2646,20.0,7.0,171,110.0,23647,71980,22365,118102,70579,13574,288,33661,118102,4.815549529546654,17.07645549347553,11.1377699204445,9.800808464856846,2.240436233086654,ADANIENT,11.6,13.64,3.0298438355011155,False,1.84815009644047,,False,71692,0.4652503767929417
100,ADANIENT,Mar 2015,64465,52015,12450.0,19.0,792,7056,3522,2663,14.0,2298,18.0,8.0,172,110.0,25618,83571,21420,130718,83834,6733,744,39407,130718,3.564725044597844,19.312805398278137,8.931902985074627,11.390772102215024,1.757982833274683,ADANIENT,11.6,13.64,3.248250932835821,False,1.876700680272109,,False,82827,0.4931608500742055
101,ADANIENT,Mar 2016,34008,32325,1684.0,5.0,1044,1357,314,1056,7.0,1000,9.0,4.0,173,110.0,13268,19169,9132,41679,10473,7705,805,22696,41679,2.9404845918607387,4.951776052693484,7.4749588877261175,5.174055980581928,2.399289810216176,ADANIENT,11.6,13.64,1.4328748691882194,False,2.0103168754605747,,False,18364,0.8159504786583172
102,ADANIENT,Mar 2017,36533,34631,1902.0,5.0,749,1257,315,1079,25.0,925,9.0,4.0,174,110.0,14026,20846,12630,47611,13668,7731,1042,25170,47611,2.5319574083705145,5.206251881860236,6.543576683644596,5.437081927848608,1.9428283379891202,ADANIENT,11.6,13.64,1.4746745897000566,False,2.1089896579156724,,False,19804,0.7673226775325029
